Max_Order,Basis_Size,Test_Acc
0,1,0.09259259259259259
1,19,0.6407407407407407
2,154,0.9111111111111111
3,694,0.9703703703703703
4,1909,0.9740740740740741
5,3367,0.9740740740740741
6,4096,0.9703703703703703
