dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
EColi,6,2,16,random_all,0.865748709122203,0.5986930740037951,0.31270428014910445
EColi,6,2,32,spectral,0.9122203098106713,0.7536171726755219,0.6382978723404256
EColi,6,2,32,random_live,0.9022375215146299,0.7214492409867173,0.5818515416618308
EColi,6,2,32,random_all,0.8722891566265061,0.6200711574952562,0.3651285449876609
EColi,6,2,64,spectral,0.9104991394148021,0.7526091081593929,0.6338028169014085
EColi,6,2,64,random_live,0.9084337349397591,0.7572485768500948,0.6340419103666266
EColi,6,2,64,random_all,0.89776247848537,0.7012808349146109,0.5472397022272781
EColi,6,2,128,spectral,0.9087779690189329,0.7662239089184061,0.6442953020134228
EColi,6,2,128,random_live,0.9025817555938037,0.7684440227703984,0.6335722759785435
EColi,6,2,128,random_all,0.9163511187607574,0.7735839658444023,0.6668655454056548
EColi,6,3,8,spectral,0.8709122203098106,0.6684001116850482,0.46808510638297873
EColi,6,3,8,random_live,0.866092943201377,0.5954883894085345,0.2997955602173138
EColi,6,3,8,random_all,0.8547332185886404,0.549981385825306,0.1785592352338682
EColi,6,3,16,spectral,0.9036144578313253,0.7444506491693424,0.6164383561643836
EColi,6,3,16,random_live,0.8822719449225472,0.6987551770673368,0.5249724530228864
EColi,6,3,16,random_all,0.857487091222031,0.5421308576480991,0.1552066980638409
EColi,6,3,32,spectral,0.8984509466437177,0.7556191539857602,0.6193548387096774
EColi,6,3,32,random_live,0.8881239242685025,0.7145074224021591,0.5484594646005958
EColi,6,3,32,random_all,0.8664371772805508,0.5956908185583322,0.2948792399122092
EColi,6,3,64,spectral,0.9036144578313253,0.7397156684815487,0.6111111111111112
EColi,6,3,64,random_live,0.8984509466437176,0.7594071385359952,0.6224006071166452
EColi,6,3,64,random_all,0.8836488812392427,0.7052468704918796,0.5294805647522686
EColi,6,3,128,spectral,0.9104991394148021,0.7721741356042626,0.6578947368421053
EColi,6,3,128,random_live,0.9074010327022375,0.7855042114570245,0.6637979478099615
