Rank,String,Score
219,XYXX,0.0
220,XYXZ,0.0
221,XYXI,0.0
222,XYIZ,0.0
223,XYIX,0.0
224,XYII,0.0
225,XIIY,0.0
226,XIXY,0.0
227,XIYX,0.0
228,XIYI,0.0
229,IYXZ,0.0
230,IYXX,0.0
231,IYZZ,0.0
232,IYYY,0.0
233,IYZX,0.0
234,IYZI,0.0
235,IZYZ,0.0
236,IZZY,0.0
237,IZYI,0.0
238,IZYX,0.0
239,IZXY,0.0
240,IZIY,0.0
241,IYII,0.0
242,IYIX,0.0
243,IYIZ,0.0
244,IYXI,0.0
245,IXZY,0.0
246,IXYZ,0.0
247,IXYX,0.0
248,IXYI,0.0
249,IXIY,0.0
250,IXXY,0.0
251,IIYZ,0.0
252,IIZY,0.0
253,IIYI,0.0
254,IIYX,0.0
255,IIXY,0.0
256,IIIY,0.0
