dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,random_live,32,0.01,inf,2.6875,1.0368055765603248,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.05,1000.0,2.6875,1.205955038265306,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.05,10000.0,2.6875,1.205955038265306,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.05,inf,2.6875,1.205955038265306,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.1,1000.0,2.6875,1.4807779839641468,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.1,10000.0,2.6875,1.4807779839641468,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.1,inf,2.6875,1.4807779839641468,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.2,1000.0,2.6875,2.3894371969127786,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.2,10000.0,2.6875,2.3894371969127786,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.2,inf,2.6875,2.3894371969127786,0.8367852437417655,0.7591240875912408
EColi,0,random_live,64,0.0,1000.0,2.859375,1.0,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.0,10000.0,2.859375,1.0,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.0,inf,2.859375,1.0,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.01,1000.0,2.859375,1.0392002027632299,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.01,10000.0,2.859375,1.0392002027632299,0.8538208168642951,0.7692307692307693
EColi,0,random_live,64,0.01,inf,2.859375,1.0392002027632299,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.05,1000.0,2.859375,1.2203228309818823,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.05,10000.0,2.859375,1.2203228309818823,0.8565349143610013,0.7567567567567568
EColi,0,random_live,64,0.05,inf,2.859375,1.2203228309818823,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.1,1000.0,2.859375,1.5174593414096145,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.1,10000.0,2.859375,1.5174593414096145,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.1,inf,2.859375,1.5174593414096145,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.2,1000.0,2.859375,2.517182057236527,0.852832674571805,0.7638888888888888
EColi,0,random_live,64,0.2,10000.0,2.859375,2.517182057236527,0.8365349143610012,0.7310344827586207
EColi,0,random_live,64,0.2,inf,2.859375,2.517182057236527,0.852832674571805,0.7638888888888888
EColi,0,random_live,128,0.0,1000.0,2.953125,1.0,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.0,10000.0,2.953125,1.0,0.8538208168642951,0.7692307692307693
EColi,0,random_live,128,0.0,inf,2.953125,1.0,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.01,1000.0,2.953125,1.0405132319666972,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.01,10000.0,2.953125,1.0405132319666972,0.8538208168642951,0.7692307692307693
EColi,0,random_live,128,0.01,inf,2.953125,1.0405132319666972,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.05,1000.0,2.953125,1.2283671679768846,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.05,10000.0,2.953125,1.2283671679768846,0.8538208168642951,0.7692307692307693
EColi,0,random_live,128,0.05,inf,2.953125,1.2283671679768846,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.1,1000.0,2.953125,1.5385370347676899,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.1,10000.0,2.953125,1.5385370347676899,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.1,inf,2.953125,1.5385370347676899,0.8548089591567852,0.7746478873239436
EColi,0,random_live,128,0.2,1000.0,2.953125,2.594541868724814,0.8548089591567852,0.7746478873239436
