dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,1,32,0.0,1.0,2.4375,4.006356369167182,0.8100663358860964,0.6857142857142857
EColi,1,32,0.05,0.01,2.4375,1.0089933642756035,0.5567225757739187,0.20689655172413793
EColi,1,32,0.05,0.1,2.4375,2.1924102103967544,0.7993204616546219,0.6814814814814815
EColi,1,32,0.05,1.0,2.4375,4.083088337083539,0.8100663358860964,0.6857142857142857
EColi,1,32,0.1,0.01,2.4375,0.9983648215274683,0.5,0.0
EColi,1,32,0.1,0.1,2.4375,2.2862432009487548,0.7924711465861287,0.6716417910447762
EColi,1,32,0.1,1.0,2.4375,4.319604625428363,0.8100663358860964,0.6857142857142857
EColi,1,32,0.2,0.01,2.4375,0.9542038396189496,0.5,0.0
EColi,1,32,0.2,0.1,2.4375,2.417582682794349,0.7797567684176465,0.6564885496183206
EColi,1,32,0.2,1.0,2.4375,4.890414347783693,0.8042012727861072,0.6811594202898551
EColi,1,32,0.3,0.01,2.4375,0.9103125708615445,0.5,0.0
EColi,1,32,0.3,0.1,2.4375,2.3357693023410646,0.7063828066012297,0.5423728813559322
EColi,1,32,0.3,1.0,2.4375,5.5879662261661105,0.8051855247546111,0.6861313868613139
EColi,1,64,0.0,0.01,2.6875,1.0255898682028246,0.6378896559162981,0.4074074074074074
EColi,1,64,0.0,0.1,2.6875,2.12089796741653,0.8051855247546111,0.6861313868613139
EColi,1,64,0.0,1.0,2.6875,4.685849298961764,0.8042012727861072,0.6811594202898551
EColi,1,64,0.05,0.01,2.6875,1.025861208012023,0.6056115845108403,0.33663366336633666
EColi,1,64,0.05,0.1,2.6875,2.197458806490434,0.8061697767231151,0.6911764705882353
EColi,1,64,0.05,1.0,2.6875,4.718480755427866,0.8051855247546111,0.6861313868613139
EColi,1,64,0.1,0.01,2.6875,1.0202462350658714,0.5537698198684069,0.2
EColi,1,64,0.1,0.1,2.6875,2.3002306181917085,0.8051855247546111,0.6861313868613139
EColi,1,64,0.1,1.0,2.6875,4.760792913057288,0.8110505878546004,0.6906474820143885
EColi,1,64,0.2,0.01,2.6875,0.9776946796510669,0.5,0.0
EColi,1,64,0.2,0.1,2.6875,2.4417636870128265,0.8003047136231258,0.6865671641791045
EColi,1,64,0.2,1.0,2.6875,5.168425723726211,0.8110505878546004,0.6906474820143885
EColi,1,64,0.3,0.01,2.6875,0.9319761698017788,0.5,0.0
EColi,1,64,0.3,0.1,2.6875,2.4047510070775426,0.7455101930751806,0.6031746031746031
EColi,1,64,0.3,1.0,2.6875,5.464288588163,0.8051855247546111,0.6861313868613139
EColi,1,128,0.0,0.01,2.9140625,1.0309884590705034,0.7347643188437062,0.5950413223140496
EColi,1,128,0.0,0.1,2.9140625,2.2413520222263235,0.8100663358860964,0.6857142857142857
EColi,1,128,0.0,1.0,2.9140625,5.030122588617409,0.8032170208176033,0.6762589928057554
EColi,1,128,0.05,0.01,2.9140625,1.038378805370072,0.727915003775213,0.5833333333333334
EColi,1,128,0.05,0.1,2.9140625,2.3307130168192196,0.8100663358860964,0.6857142857142857
EColi,1,128,0.05,1.0,2.9140625,5.2718949669466335,0.7953834537806062,0.6618705035971223
EColi,1,128,0.1,0.01,2.9140625,1.043272052630355,0.6809540502642649,0.5
EColi,1,128,0.1,0.1,2.9140625,2.409082408875523,0.8110505878546004,0.6906474820143885
EColi,1,128,0.1,1.0,2.9140625,5.451206033335118,0.8159313989860857,0.6901408450704225
EColi,1,128,0.2,0.01,2.9140625,1.0215098011830566,0.5,0.0
EColi,1,128,0.2,0.1,2.9140625,2.5445988283741396,0.8051855247546111,0.6861313868613139
EColi,1,128,0.2,1.0,2.9140625,5.9320922152293,0.8169156509545896,0.6950354609929078
EColi,1,128,0.3,0.01,2.9140625,0.9699948992159368,0.5,0.0
EColi,1,128,0.3,0.1,2.9140625,2.535292712736259,0.758224571243663,0.6201550387596899
EColi,1,128,0.3,1.0,2.9140625,6.363484974464945,0.8178999029230936,0.7
EColi,2,4,0.0,0.01,1.75,0.8515558923635989,0.5,0.0
EColi,2,4,0.0,0.1,1.75,1.5877238035771617,0.5529411764705883,0.19148936170212766
EColi,2,4,0.0,1.0,1.75,1.8700290601035303,0.6346299810246679,0.39705882352941174
EColi,2,4,0.05,0.01,1.75,0.8460518944205233,0.5,0.0
EColi,2,4,0.05,0.1,1.75,1.6175959959737185,0.5529411764705883,0.19148936170212766
EColi,2,4,0.05,1.0,1.75,1.958432190372261,0.6346299810246679,0.39705882352941174
EColi,2,4,0.1,0.01,1.75,0.8384863316930717,0.5,0.0
EColi,2,4,0.1,0.1,1.75,1.6489701772013294,0.5470588235294118,0.17204301075268819
