String,Weight,Type,Importance
XYZZ,4,XYZZ,0.0
IYZZ,3,YZZ,0.0
IYZX,3,XYZ,0.0
IYZI,2,YZ,0.0
IYYY,3,YYY,0.0
IXZY,3,XYZ,0.0
IXYI,2,XY,0.0
IXYX,3,XXY,0.0
IXYZ,3,XYZ,0.0
IIYZ,2,YZ,0.0
IIYX,2,XY,0.0
IIXY,2,XY,0.0
IIIY,1,Y,0.0
IXIY,2,XY,0.0
IXXY,3,XXY,0.0
IIYI,1,Y,0.0
IIZY,2,YZ,0.0
IYII,1,Y,0.0
IYIX,2,XY,0.0
IZXY,3,XYZ,0.0
IZIY,2,YZ,0.0
IYIZ,2,YZ,0.0
IYXI,2,XY,0.0
IYXX,3,XXY,0.0
IYXZ,3,XYZ,0.0
XXYZ,4,XXYZ,0.0
XXYX,4,XXXY,0.0
XXYI,3,XXY,0.0
XXZY,4,XXYZ,0.0
IZYZ,3,YZZ,0.0
IZYX,3,XYZ,0.0
IZYI,2,YZ,0.0
IZZY,3,YZZ,0.0
YZZZ,4,YZZZ,0.0
YZZX,4,XYZZ,0.0
YZZI,3,YZZ,0.0
YZYY,4,YYYZ,0.0
YZIZ,3,YZZ,0.0
YZXI,3,XYZ,0.0
YZXX,4,XXYZ,0.0
YZXZ,4,XYZZ,0.0
YZII,2,YZ,0.0
YZIX,3,XYZ,0.0
YYXY,4,XYYY,0.0
YYIY,3,YYY,0.0
YYYZ,4,YYYZ,0.0
YYYX,4,XYYY,0.0
YYYI,3,YYY,0.0
YYZY,4,YYYZ,0.0
YIZZ,3,YZZ,0.0
YIZX,3,XYZ,0.0
YIZI,2,YZ,0.0
YIYY,3,YYY,0.0
YIIZ,2,YZ,0.0
YIXI,2,XY,0.0
YXIX,3,XXY,0.0
YXII,2,XY,0.0
YXXZ,4,XXYZ,0.0
YXXX,4,XXXY,0.0
YXXI,3,XXY,0.0
YXIZ,3,XYZ,0.0
YXYY,4,XYYY,0.0
YXZI,3,XYZ,0.0
YXZX,4,XXYZ,0.0
YXZZ,4,XYZZ,0.0
YIII,1,Y,0.0
YIIX,2,XY,0.0
YIXX,3,XXY,0.0
YIXZ,3,XYZ,0.0
ZXZY,4,XYZZ,0.0
ZXYI,3,XYZ,0.0
ZXYX,4,XXYZ,0.0
ZXYZ,4,XYZZ,0.0
ZIYZ,3,YZZ,0.0
ZIYX,3,XYZ,0.0
ZIXY,3,XYZ,0.0
ZIIY,2,YZ,0.0
ZXIY,3,XYZ,0.0
ZXXY,4,XXYZ,0.0
ZIYI,2,YZ,0.0
ZIZY,3,YZZ,0.0
ZYZZ,4,YZZZ,0.0
ZYZX,4,XYZZ,0.0
ZYZI,3,YZZ,0.0
ZYYY,4,YYYZ,0.0
ZYIZ,3,YZZ,0.0
ZYXI,3,XYZ,0.0
ZYXX,4,XXYZ,0.0
ZYXZ,4,XYZZ,0.0
ZYII,2,YZ,0.0
ZYIX,3,XYZ,0.0
ZZXY,4,XYZZ,0.0
ZZIY,3,YZZ,0.0
ZZYZ,4,YZZZ,0.0
ZZYX,4,XYZZ,0.0
ZZYI,3,YZZ,0.0
ZZZY,4,YZZZ,0.0
