k_genes,blank_train,blank_test,majority_baseline,lr_accuracy,lr_balanced,lr_f1,sim_accuracy,sim_balanced,sim_f1,sim_basis
16,0.6115214180206795,0.6075731497418244,0.8709122203098106,0.9432013769363167,0.8708563899868247,0.7785234899328859,0.9466437177280551,0.8557971014492753,0.7801418439716312,256.0
32,0.06425406203840472,0.07228915662650602,0.8709122203098106,0.9466437177280551,0.8785111989459815,0.7919463087248322,,,,
64,0.0,0.0,0.8709122203098106,0.9500860585197934,0.8691304347826088,0.7972027972027972,0.9156626506024096,0.8493675889328063,0.6993865030674846,4096.0
128,0.0,0.0,0.8709122203098106,0.9518072289156626,0.8644400527009223,0.8,,,,
256,0.0,0.0,0.8709122203098106,0.955249569707401,0.8664163372859025,0.8115942028985508,,,,
512,0.0,0.0,0.8709122203098106,0.9518072289156626,0.8530830039525692,0.7941176470588235,,,,
1024,0.0,0.0,0.8709122203098106,0.9483648881239243,0.8340711462450593,0.7727272727272727,,,,
2048,0.0,0.0,0.8709122203098106,0.9518072289156626,0.8360474308300396,0.7846153846153846,,,,
