String,Order,Type,Importance
XXXXYZ,6,XXXXYZ,0.0
XXXXYX,6,XXXXXY,0.0
XXXXYI,5,XXXXY,0.0
XXXIYI,4,XXXY,0.0
XXXIXY,5,XXXXY,0.0
XXXIIY,4,XXXY,0.0
YXIXZZ,5,XXYZZ,0.0
YXIXZX,5,XXXYZ,0.0
YXIXZI,4,XXYZ,0.0
YXIXYY,5,XXYYY,0.0
YXIXXZ,5,XXXYZ,0.0
YXIXXX,5,XXXXY,0.0
YXIXXI,4,XXXY,0.0
YXIXIZ,4,XXYZ,0.0
YXIXIX,4,XXXY,0.0
YXIXII,3,XXY,0.0
YXIYZY,5,XYYYZ,0.0
YXIYYZ,5,XYYYZ,0.0
YXIYYX,5,XXYYY,0.0
YXIYYI,4,XYYY,0.0
YXIYXY,5,XXYYY,0.0
YXIYIY,4,XYYY,0.0
XXIZZY,5,XXYZZ,0.0
XXIZYZ,5,XXYZZ,0.0
XXIZYX,5,XXXYZ,0.0
XXIZYI,4,XXYZ,0.0
XXIZXY,5,XXXYZ,0.0
XXIZIY,4,XXYZ,0.0
XXXIZY,5,XXXYZ,0.0
XXXIYZ,5,XXXYZ,0.0
XXXIYX,5,XXXXY,0.0
XXIYXZ,5,XXXYZ,0.0
XXIYXX,5,XXXXY,0.0
XXIYXI,4,XXXY,0.0
XXIYIZ,4,XXYZ,0.0
XXIYIX,4,XXXY,0.0
XXIYII,3,XXY,0.0
YXIZZZ,5,XYZZZ,0.0
YXIZZX,5,XXYZZ,0.0
YXIZZI,4,XYZZ,0.0
YXIZYY,5,XYYYZ,0.0
YXIZXZ,5,XXYZZ,0.0
YXIZXX,5,XXXYZ,0.0
YXIZXI,4,XXYZ,0.0
YXIZIZ,4,XYZZ,0.0
YXIZIX,4,XXYZ,0.0
YXIZII,3,XYZ,0.0
YXXIZZ,5,XXYZZ,0.0
YXXIZX,5,XXXYZ,0.0
YXXIZI,4,XXYZ,0.0
YXXIYY,5,XXYYY,0.0
YXXIXZ,5,XXXYZ,0.0
YXXIXX,5,XXXXY,0.0
YXXIXI,4,XXXY,0.0
YXXIIZ,4,XXYZ,0.0
YXXIIX,4,XXXY,0.0
YXXIII,3,XXY,0.0
XXIYZZ,5,XXYZZ,0.0
XXIYZX,5,XXXYZ,0.0
XXIYZI,4,XXYZ,0.0
XXIYYY,5,XXYYY,0.0
XXIXYZ,5,XXXYZ,0.0
XXIXYX,5,XXXXY,0.0
XXIXYI,4,XXXY,0.0
XXIXXY,5,XXXXY,0.0
XXIXIY,4,XXXY,0.0
YXXXZZ,6,XXXYZZ,0.0
YXXXZX,6,XXXXYZ,0.0
YXXXZI,5,XXXYZ,0.0
YXXXYY,6,XXXYYY,0.0
YXXXXZ,6,XXXXYZ,0.0
YXXXXX,6,XXXXXY,0.0
YXXXXI,5,XXXXY,0.0
YXXXIZ,5,XXXYZ,0.0
YXXXIX,5,XXXXY,0.0
YXXXII,4,XXXY,0.0
YXXZII,4,XXYZ,0.0
YXXYZY,6,XXYYYZ,0.0
YXXYYZ,6,XXYYYZ,0.0
YXXYYX,6,XXXYYY,0.0
YXXYYI,5,XXYYY,0.0
YXXYXY,6,XXXYYY,0.0
YXXYIY,5,XXYYY,0.0
XXIIZY,4,XXYZ,0.0
XXIIYZ,4,XXYZ,0.0
XXIIYX,4,XXXY,0.0
XXIIYI,3,XXY,0.0
XXIIXY,4,XXXY,0.0
XXIIIY,3,XXY,0.0
XXIXZY,5,XXXYZ,0.0
XIZZYZ,5,XYZZZ,0.0
XIZZYX,5,XXYZZ,0.0
XIZZYI,4,XYZZ,0.0
XIZZXY,5,XXYZZ,0.0
XIZZIY,4,XYZZ,0.0
YXXZZZ,6,XXYZZZ,0.0
YXXZZX,6,XXXYZZ,0.0
YXXZZI,5,XXYZZ,0.0
YXXZYY,6,XXYYYZ,0.0
YXXZXZ,6,XXXYZZ,0.0
YXXZXX,6,XXXXYZ,0.0
YXXZXI,5,XXXYZ,0.0
YXXZIZ,5,XXYZZ,0.0
YXXZIX,5,XXXYZ,0.0
XIZYZI,4,XYZZ,0.0
XIZYYY,5,XYYYZ,0.0
XIZYXZ,5,XXYZZ,0.0
XIZYXX,5,XXXYZ,0.0
XIZYXI,4,XXYZ,0.0
XIZYIZ,4,XYZZ,0.0
XIZYIX,4,XXYZ,0.0
XIZYII,3,XYZ,0.0
YXYIZY,5,XYYYZ,0.0
YXYIYZ,5,XYYYZ,0.0
YXYIYX,5,XXYYY,0.0
YXYIYI,4,XYYY,0.0
YXYIXY,5,XXYYY,0.0
YXYIIY,4,XYYY,0.0
XIZZZY,5,XYZZZ,0.0
XIZXYZ,5,XXYZZ,0.0
XIZXYX,5,XXXYZ,0.0
XIZXYI,4,XXYZ,0.0
XIZXXY,5,XXXYZ,0.0
XIZXIY,4,XXYZ,0.0
YXYXZY,6,XXYYYZ,0.0
YXYXYZ,6,XXYYYZ,0.0
YXYXYX,6,XXXYYY,0.0
YXYXYI,5,XXYYY,0.0
YXYXXY,6,XXXYYY,0.0
YXYXIY,5,XXYYY,0.0
XIZYZZ,5,XYZZZ,0.0
XIZYZX,5,XXYZZ,0.0
XIZIXY,4,XXYZ,0.0
XIZIIY,3,XYZ,0.0
YXYYZZ,6,XYYYZZ,0.0
YXYYZX,6,XXYYYZ,0.0
YXYYZI,5,XYYYZ,0.0
YXYYYY,6,XYYYYY,0.0
YXYYXZ,6,XXYYYZ,0.0
YXYYXX,6,XXXYYY,0.0
YXYYXI,5,XXYYY,0.0
YXYYIZ,5,XYYYZ,0.0
YXYYIX,5,XXYYY,0.0
YXYYII,4,XYYY,0.0
XIZXZY,5,XXYZZ,0.0
XIYZXI,4,XXYZ,0.0
XIYZIZ,4,XYZZ,0.0
XIYZIX,4,XXYZ,0.0
XIYZII,3,XYZ,0.0
YXYZZY,6,XYYYZZ,0.0
YXYZYZ,6,XYYYZZ,0.0
YXYZYX,6,XXYYYZ,0.0
YXYZYI,5,XYYYZ,0.0
YXYZXY,6,XXYYYZ,0.0
YXYZIY,5,XYYYZ,0.0
XIZIZY,4,XYZZ,0.0
XIZIYZ,4,XYZZ,0.0
XIZIYX,4,XXYZ,0.0
XIZIYI,3,XYZ,0.0
YXZIZZ,5,XYZZZ,0.0
YXZIZX,5,XXYZZ,0.0
YXZIZI,4,XYZZ,0.0
YXZIYY,5,XYYYZ,0.0
YXZIXZ,5,XXYZZ,0.0
YXZIXX,5,XXXYZ,0.0
YXZIXI,4,XXYZ,0.0
YXZIIZ,4,XYZZ,0.0
YXZIIX,4,XXYZ,0.0
YXZIII,3,XYZ,0.0
XIYZZZ,5,XYZZZ,0.0
XIYZZX,5,XXYZZ,0.0
XIYZZI,4,XYZZ,0.0
XIYZYY,5,XYYYZ,0.0
XIYZXZ,5,XXYZZ,0.0
XIYZXX,5,XXXYZ,0.0
XIYYYX,5,XXYYY,0.0
XIYYYI,4,XYYY,0.0
XIYYXY,5,XXYYY,0.0
XIYYIY,4,XYYY,0.0
YXZXZZ,6,XXYZZZ,0.0
YXZXZX,6,XXXYZZ,0.0
YXZXZI,5,XXYZZ,0.0
YXZXYY,6,XXYYYZ,0.0
YXZXXZ,6,XXXYZZ,0.0
YXZXXX,6,XXXXYZ,0.0
YXZXXI,5,XXXYZ,0.0
YXZXIZ,5,XXYZZ,0.0
YXZXIX,5,XXXYZ,0.0
YXZXII,4,XXYZ,0.0
YXZZXX,6,XXXYZZ,0.0
YXZZXI,5,XXYZZ,0.0
YXZZIZ,5,XYZZZ,0.0
YXZZIX,5,XXYZZ,0.0
YXZZII,4,XYZZ,0.0
YXZYZY,6,XYYYZZ,0.0
YXZYYZ,6,XYYYZZ,0.0
YXZYYX,6,XXYYYZ,0.0
YXZYYI,5,XYYYZ,0.0
YXZYXY,6,XXYYYZ,0.0
YXZYIY,5,XYYYZ,0.0
XIYYZY,5,XYYYZ,0.0
XIYYYZ,5,XYYYZ,0.0
XIYXZX,5,XXXYZ,0.0
XIYXZI,4,XXYZ,0.0
XIYXYY,5,XXYYY,0.0
XIYXXZ,5,XXXYZ,0.0
XIYXXX,5,XXXXY,0.0
XIYXXI,4,XXXY,0.0
XIYXIZ,4,XXYZ,0.0
XIYXIX,4,XXXY,0.0
XIYXII,3,XXY,0.0
YXZZZZ,6,XYZZZZ,0.0
YXZZZX,6,XXYZZZ,0.0
YXZZZI,5,XYZZZ,0.0
YXZZYY,6,XYYYZZ,0.0
YXZZXZ,6,XXYZZZ,0.0
XIYIZI,3,XYZ,0.0
XIYIYY,4,XYYY,0.0
XIYIXZ,4,XXYZ,0.0
XIYIXX,4,XXXY,0.0
XIYIXI,3,XXY,0.0
XIYIIZ,3,XYZ,0.0
XIYIIX,3,XXY,0.0
XIYIII,2,XY,0.0
YYIIZY,4,YYYZ,0.0
YYIIYZ,4,YYYZ,0.0
YYIIYX,4,XYYY,0.0
YYIIYI,3,YYY,0.0
YYIIXY,4,XYYY,0.0
YYIIIY,3,YYY,0.0
XIYXZZ,5,XXYZZ,0.0
XIXZYX,5,XXXYZ,0.0
XIXZYI,4,XXYZ,0.0
XIXZXY,5,XXXYZ,0.0
XIXZIY,4,XXYZ,0.0
YYIXZY,5,XYYYZ,0.0
YYIXYZ,5,XYYYZ,0.0
YYIXYX,5,XXYYY,0.0
YYIXYI,4,XYYY,0.0
YYIXXY,5,XXYYY,0.0
YYIXIY,4,XYYY,0.0
XIYIZZ,4,XYZZ,0.0
XIYIZX,4,XXYZ,0.0
XIXYXI,4,XXXY,0.0
XIXYIZ,4,XXYZ,0.0
XIXYIX,4,XXXY,0.0
