String,Order,Type,Importance
XYYYIY,5,XYYYY,0.0842454653766455
IZYXXY,5,XXYYZ,0.08411452533457282
ZYIYXI,4,XYYZ,0.08409600168305387
IZIIII,1,Z,0.08409215715172887
IZYYXX,5,XXYYZ,0.08380190184228604
ZZIYYI,4,YYZZ,0.08364014606479873
IZZIZX,4,XZZZ,0.08337357080674998
ZZXZZI,5,XZZZZ,0.08336064575704663
IXXZZX,5,XXXZZ,0.08327913854218358
ZIXZZX,5,XXZZZ,0.08323979714743072
ZYXXIY,5,XXYYZ,0.0831549406776074
IIYXYX,4,XXYY,0.08309749206861293
ZZXIXX,5,XXXZZ,0.08304193261319302
XYZYII,4,XYYZ,0.0829969705471637
ZXXZYY,6,XXYYZZ,0.08297916827194378
IXYXYX,5,XXXYY,0.08290386058092332
ZIIYYI,3,YYZ,0.0828418105312956
XIXYYX,5,XXXYY,0.082604406682634
YIZYIZ,4,YYZZ,0.08259416146247545
XYIXYI,4,XXYY,0.0825508269090072
ZIIZXI,3,XZZ,0.08233198210088082
XZIZXI,4,XXZZ,0.08225659880918362
XYXYYY,6,XXYYYY,0.08220167007962734
YXIIIY,3,XYY,0.08216492828456202
YYIZZZ,5,YYZZZ,0.08216396002234852
ZIXIZI,3,XZZ,0.08216230112877844
IXYZYI,4,XYYZ,0.082156145846009
XXIZYY,5,XXYYZ,0.0821540354647341
IYYZZX,5,XYYZZ,0.08213504641410582
XXYYYY,6,XXYYYY,0.0821333367672921
IZIYYI,3,YYZ,0.0821306467824359
YIYIXX,4,XXYY,0.08205956206535078
ZXYYZI,5,XYYZZ,0.08193064677677278
ZYXXYI,5,XXYYZ,0.08186894790122827
YYIZXX,5,XXYYZ,0.08176982108828842
ZIYXYZ,5,XYYZZ,0.08164123074265942
IYYZII,3,YYZ,0.08160634327448411
ZIYZXY,5,XYYZZ,0.08157419088653146
ZYXXXY,6,XXXYYZ,0.08125863233582722
ZIIIIZ,2,ZZ,0.08123864125844746
ZYXYZX,6,XXYYZZ,0.08116760158407468
IIYXIY,3,XYY,0.08115466136848945
XXXXXX,6,XXXXXX,0.0811103247862619
YIYXII,3,XYY,0.08104504307910057
YXIZZY,5,XYYZZ,0.08095495331949437
IXYZYZ,5,XYYZZ,0.08095049535111898
ZIXZIZ,4,XZZZ,0.08087538549356674
IYZIZY,4,YYZZ,0.08085774613079547
XXIYYI,4,XXYY,0.08078659481064726
IIYZYI,3,YYZ,0.08077532978378885
IYXIYI,3,XYY,0.08071864759923641
YIXIYI,3,XYY,0.08069299093249109
IZXZZZ,5,XZZZZ,0.0806882935423239
XXZIZI,4,XXZZ,0.08067442041628171
YZYYYZ,6,YYYYZZ,0.08067190794682783
ZXXZIX,5,XXXZZ,0.08066926802317961
YIYXZZ,5,XYYZZ,0.0806255171087193
YYXXXI,5,XXXYY,0.08058715191170931
XYZXYX,6,XXXYYZ,0.08053292684246524
ZYYIZZ,5,YYZZZ,0.08046679971645207
XZYYZI,5,XYYZZ,0.08046223656180793
ZXYZIY,5,XYYZZ,0.08044240587801667
IXIZZX,4,XXZZ,0.08037647920429802
IIIXIX,2,XX,0.08028370041877608
ZIIZYY,4,YYZZ,0.08022710081319477
XXXZZI,5,XXXZZ,0.08022653243977863
