n_qubits,seed,fraction,k,n_live,accuracy,balanced,f1
4,0,0.01,1,136,0.8709122203098106,0.5,0.0
4,0,0.02,3,136,0.8657487091222031,0.5708563899868248,0.25
4,0,0.05,7,136,0.9070567986230637,0.7478919631093544,0.5970149253731343
4,0,0.1,14,136,0.9156626506024096,0.7812252964426878,0.6474820143884892
4,0,0.25,34,136,0.9328743545611016,0.8194993412384717,0.7194244604316546
4,0,0.5,68,136,0.9380378657487092,0.8394993412384717,0.7464788732394366
4,0,0.75,102,136,0.9397590361445783,0.8404874835309618,0.75177304964539
4,0,1.0,136,136,0.9466437177280551,0.8557971014492753,0.7801418439716312
4,1,0.01,1,136,0.8743545611015491,0.5,0.0
4,1,0.02,3,136,0.8709122203098106,0.5801423794628411,0.27184466019417475
4,1,0.05,7,136,0.8950086058519794,0.7053581059216912,0.5196850393700787
4,1,0.1,14,136,0.9070567986230637,0.7181129328012081,0.5573770491803278
4,1,0.25,34,136,0.9173838209982789,0.8061293280120807,0.6666666666666666
4,1,0.5,68,136,0.9208261617900172,0.8139628950490778,0.6805555555555556
4,1,0.75,102,136,0.9070567986230637,0.7943587531010678,0.6351351351351351
4,1,1.0,136,136,0.9139414802065404,0.7982957609750836,0.6527777777777778
4,2,0.01,1,136,0.8537005163511188,0.5,0.0
4,2,0.02,3,136,0.8588640275387264,0.5566413662239089,0.21153846153846154
4,2,0.05,7,136,0.8846815834767642,0.6838709677419355,0.5037037037037037
4,2,0.1,14,136,0.8950086058519794,0.6996679316888046,0.5413533834586466
4,2,0.25,34,136,0.9345955249569707,0.8252134724857685,0.75
4,2,0.5,68,136,0.9208261617900172,0.7781546489563567,0.6805555555555556
4,2,0.75,102,136,0.9208261617900172,0.7879032258064516,0.6891891891891891
4,2,1.0,136,136,0.9225473321858864,0.7889112903225806,0.6938775510204082
6,0,0.01,21,2080,0.9156626506024096,0.7585111989459815,0.6259541984732825
6,0,0.02,42,2080,0.9173838209982789,0.7708563899868248,0.6417910447761194
6,0,0.05,104,2080,0.9311531841652324,0.8412252964426877,0.7297297297297297
6,0,0.1,208,2080,0.927710843373494,0.833570487483531,0.7162162162162162
6,0,0.25,520,2080,0.9225473321858864,0.8476416337285902,0.7133757961783439
6,0,0.5,1040,2080,0.9259896729776248,0.843939393939394,0.7189542483660131
6,0,0.75,1560,2080,0.9225473321858864,0.8589986824769433,0.7204968944099379
6,0,1.0,2080,2080,0.9156626506024096,0.8493675889328063,0.6993865030674846
6,1,0.01,21,2080,0.9104991394148021,0.7611368784381405,0.6119402985074627
6,1,0.02,42,2080,0.9104991394148021,0.749406752238162,0.6
6,1,0.05,104,2080,0.9156626506024096,0.7758197605436307,0.6370370370370371
6,1,0.1,208,2080,0.9208261617900172,0.8080978319490886,0.676056338028169
6,1,0.25,520,2080,0.9122203098106713,0.8149066983065473,0.6622516556291391
6,1,0.5,1040,2080,0.9122203098106713,0.8090416352065581,0.6577181208053692
6,1,0.75,1560,2080,0.9122203098106713,0.8090416352065581,0.6577181208053692
6,1,1.0,2080,2080,0.9156626506024096,0.8168752022435551,0.6711409395973155
6,2,0.01,21,2080,0.9139414802065404,0.7838709677419355,0.6710526315789473
6,2,0.02,42,2080,0.9104991394148021,0.7672319734345351,0.6486486486486487
6,2,0.05,104,2080,0.9036144578313253,0.7485768500948766,0.6164383561643836
6,2,0.1,208,2080,0.919104991394148,0.79176944971537,0.6887417218543046
6,2,0.25,520,2080,0.9018932874354562,0.7670659392789374,0.632258064516129
6,2,0.5,1040,2080,0.9001721170395869,0.7660578747628084,0.6282051282051282
6,2,0.75,1560,2080,0.9053356282271945,0.7934535104364326,0.6625766871165644
6,2,1.0,2080,2080,0.9070567986230637,0.8042101518026565,0.6746987951807228
