accuracy,balanced,f1,train_loss,n_params,dataset,n_qubits,seed,variant
0.8709122203098106,0.5,0.0,0.362572441289432,292,EColi,4,0,HAM
0.9259896729776248,0.7246903820816865,0.6126126126126126,0.3767639844396314,54,EColi,4,0,PEFF
0.9363166953528399,0.8498682476943347,0.7482993197278912,0.23193691806255545,84,EColi,4,0,SIM
0.927710843373494,0.8051778656126483,0.6956521739130435,0.23340347074480358,84,EColi,4,0,SIM-noQ
0.8743545611015491,0.5,0.0,0.3621425075721506,292,EColi,4,1,HAM
0.9294320137693631,0.807154028691619,0.6962962962962963,0.35593480450980075,54,EColi,4,1,PEFF
0.9208261617900172,0.8022327688490993,0.6714285714285714,0.2043206671082298,84,EColi,4,1,SIM
0.9208261617900172,0.8022327688490993,0.6714285714285714,0.2036181919789346,84,EColi,4,1,SIM-noQ
0.8537005163511188,0.5,0.0,0.35037790624583987,292,EColi,4,2,HAM
0.9380378657487092,0.8174810246679317,0.7534246575342466,0.36125259149566835,54,EColi,4,2,PEFF
0.9345955249569707,0.8105906072106261,0.7397260273972602,0.2186546157394995,84,EColi,4,2,SIM
0.9363166953528399,0.82134724857685,0.7516778523489933,0.21383470613695918,84,EColi,4,2,SIM-noQ
0.5640074211502782,0.5,0.7212336892052195,0.6743977880078572,292,20News,4,0,HAM
0.8218923933209648,0.8145786674132138,0.8466453674121406,0.48429912939047304,54,20News,4,0,PEFF
0.8274582560296846,0.8228933370660694,0.848780487804878,0.3959749195724865,84,20News,4,0,SIM
0.8311688311688312,0.8281145016797313,0.8505747126436781,0.3859754577494514,84,20News,4,0,SIM-noQ
0.5602968460111317,0.5,0.718192627824019,0.6731767431806113,292,20News,4,1,HAM
0.7903525046382189,0.7824908486321849,0.8192,0.4858367890600304,54,20News,4,1,PEFF
0.8107606679035251,0.8075139016961467,0.8316831683168316,0.40900551310424527,84,20News,4,1,SIM
0.8200371057513914,0.8148838963869562,0.8422764227642277,0.41225260121844903,84,20News,4,1,SIM-noQ
0.5769944341372912,0.5,0.731764705882353,0.6747334913471051,292,20News,4,2,HAM
0.8144712430426716,0.8099650251029503,0.8392282958199357,0.4855888005107714,54,20News,4,2,PEFF
0.8181818181818182,0.8161067862582502,0.8403908794788274,0.4078644248009573,84,20News,4,2,SIM
0.8181818181818182,0.8155215208439104,0.8409090909090909,0.3995199216796592,84,20News,4,2,SIM-noQ
