accuracy,balanced_accuracy,f1,train_loss,seed,mode
0.9363166953528399,0.8498682476943347,0.7482993197278912,0.23193691806255554,0,trained
0.9397590361445783,0.8575230566534915,0.7619047619047619,0.23776778635743523,0,frozen
0.927710843373494,0.8051778656126483,0.6956521739130435,0.23340347074480358,0,none
0.9345955249569707,0.843201581027668,0.7397260273972602,0.22953938476012514,1,trained
0.9380378657487092,0.8451778656126482,0.75,0.2445595930701629,1,frozen
0.9363166953528399,0.8498682476943347,0.7482993197278912,0.23139044518228208,1,none
0.9345955249569707,0.8318445322793149,0.7323943661971831,0.22981002194973757,2,trained
0.9380378657487092,0.8451778656126482,0.75,0.23572575846794858,2,frozen
0.9380378657487092,0.8565349143610013,0.7567567567567568,0.23143741138426954,2,none
0.9414802065404475,0.8641897233201581,0.7702702702702703,0.23383573145306355,3,trained
0.9363166953528399,0.8498682476943347,0.7482993197278912,0.2358147660829952,3,frozen
0.9363166953528399,0.8498682476943347,0.7482993197278912,0.23150273504576682,3,none
0.9345955249569707,0.843201581027668,0.7397260273972602,0.2352829599855644,4,trained
0.9345955249569707,0.8488801054018444,0.7432432432432432,0.24221617853326496,4,frozen
0.9345955249569707,0.8318445322793149,0.7323943661971831,0.23067505797050325,4,none
