k,accuracy
1,0.8709122203098106
2,0.8571428571428571
4,0.8657487091222031
8,0.8709122203098106
16,0.8795180722891566
32,0.9087779690189329
64,0.9466437177280551
128,0.9466437177280551
256,0.9466437177280551
