Model,AUC,F1,Time (s)
Spectral SIM,0.931980056980057,0.8295454545454546,5.013699054718018
VQC (StronglyEntangling),0.6033208689458689,0.5605536332179931,366.54096269607544
VQC (BasicEntangling),0.48904914529914534,0.4641638225255973,233.6001889705658
QSVM,0.9645655270655271,0.9128919860627178,97.17084193229675
